# 2021 08 24 06 24 40.80  27.627  56.472  20.8 0.00 0.00 0.00  0.3    100000
MZN1  27.600   1.0 P
JASK  39.600   1.0 P
KBAM  43.200   1.0 P
CHMN  43.400   1.0 P
UOSS  45.200   1.0 P
KSHB  47.500   1.0 P
MZN1  48.400   1.0 S
# 2021 11 14 18 01 11.70  27.568  56.140   8.0 0.00 0.00 0.00  0.3    100032
BNDS   4.500   1.0 P
MZN1  27.700   1.0 P
UOSS  45.400   1.0 P
KBAM  45.400   1.0 P
CHMN  45.800   1.0 P
MZN1  48.000   1.0 S
# 2021 11 14 18 18 38.60  27.578  56.162  20.0 0.00 0.00 0.00  0.4    100033
BNDS   5.300   1.0 P
MZN1  26.800   1.0 P
KBAM  41.900   1.0 P
CHMN  42.700   1.0 P
UOSS  43.500   1.0 P
KSHB  45.900   1.0 P
# 2021 11 14 18 38 16.50  27.628  56.255   9.4 0.00 0.00 0.00  0.2    100034
BNDS   5.200   1.0 P
MZN1  28.800   1.0 P
KBAM  42.300   1.0 P
CHMN  43.200   1.0 P
UOSS  45.200   1.0 P
MZN1  49.700   1.0 S
# 2021 11 14 18 46 38.30  27.551  56.128  13.1 0.00 0.00 0.00  0.2    100035
BNDS   4.900   1.0 P
MZN1  27.500   1.0 P
JASK  40.300   1.0 P
UOSS  44.300   1.0 P
KBAM  44.600   1.0 P
# 2021 11 14 18 57 21.80  27.601  56.220  17.8 0.00 0.00 0.00  0.5    100036
BNB    6.800   1.0 P
MZN1  27.700   1.0 P
JASK  39.200   1.0 P
CHMN  42.200   1.0 P
UOSS  43.000   1.0 P
# 2021 11 14 19 07 05.80  27.541  56.276  11.8 0.00 0.00 0.00  0.4    100037
BNDS   3.700   1.0 P
BNB    5.700   1.0 P
BNDS   7.100   1.0 S
MZN1  29.200   1.0 P
KBAM  43.100   1.0 P
CHMN  43.500   1.0 P
MZN1  52.300   1.0 S
# 2021 11 14 19 10 03.80  27.591  56.322  14.7 0.00 0.00 0.00  0.4    100038
BNDS   5.600   1.0 P
BNB    6.500   1.0 P
MZN1  30.100   1.0 P
JASK  39.000   1.0 P
KBAM  42.000   1.0 P
CHMN  43.200   1.0 P
UOSS  45.000   1.0 P
MZN1  53.000   1.0 S
# 2021 11 14 19 18 31.50  27.541  56.140  19.4 0.00 0.00 0.00  0.4    100039
BNB    7.800   1.0 P
JASK  38.500   1.0 P
UOSS  42.400   1.0 P
CHMN  42.500   1.0 P
KBAM  43.100   1.0 P
MZN1  46.800   1.0 S
# 2021 11 14 19 30 07.90  27.486  56.043  13.5 0.00 0.00 0.00  0.3    100040
BNDS   4.400   1.0 P
BNB   10.000   1.0 P
JASK  40.000   1.0 P
UOSS  43.800   1.0 P
KBAM  46.200   1.0 P
CHMN  46.300   1.0 P
MZN1  46.400   1.0 S
# 2021 11 14 19 50 18.20  27.736  56.364  10.0 0.00 0.00 0.00  0.4    100041
BNB    6.600   1.0 P
MZN1  28.600   1.0 P
CHMN  41.600   1.0 P
CHMN  78.500   1.0 S
# 2021 11 14 20 09 49.20  27.542  56.093  18.3 0.00 0.00 0.00  0.4    100042
BNDS   4.500   1.0 P
BNB    7.700   1.0 P
BNB   15.200   1.0 S
MZN1  26.300   1.0 P
JASK  39.100   1.0 P
UOSS  43.100   1.0 P
KBAM  43.600   1.0 P
CHMN  44.000   1.0 P
MZN1  45.600   1.0 S
GHIR  47.230   1.0 P
JSSH  36.150   1.0 P
KRBR  38.240   0.0 P
LMD1  44.180   1.0 P
# 2021 11 14 20 23 11.40  27.463  56.024  13.6 0.00 0.00 0.00  0.4    100043
BNDS   4.500   1.0 P
BNB   10.000   1.0 P
MZN1  27.100   1.0 P
KRBR  39.900   0.0 P
JASK  40.100   1.0 P
MZN1  46.100   1.0 S
CHMN  46.800   1.0 P
KBAM  46.900   1.0 P
# 2021 11 14 20 41 13.60  27.569  56.196   9.8 0.00 0.00 0.00  0.4    100044
BNDS   4.400   1.0 P
BNB    7.800   1.0 P
MZN1  28.800   1.0 P
JASK  40.600   1.0 P
KBAM  43.600   1.0 P
CHMN  44.900   1.0 P
# 2021 11 14 21 13 31.80  27.611  56.279  10.0 0.00 0.00 0.00  0.4    100045
BNDS   4.500   1.0 P
BNB    6.000   1.0 P
BNDS   9.400   1.0 S
MZN1  28.500   1.0 P
KRBR  37.700   0.0 P
KBAM  41.700   1.0 P
CHMN  43.100   1.0 P
# 2021 11 14 21 27 37.90  27.566  56.161  13.8 0.00 0.00 0.00  0.5    100046
BNDS   4.100   1.0 P
BNB    7.400   1.0 P
MZN1  26.900   1.0 P
KRBR  37.500   0.0 P
JASK  38.800   1.0 P
KBAM  43.300   1.0 P
CHMN  44.000   1.0 P
# 2021 11 14 21 33 35.30  27.619  56.249  11.8 0.00 0.00 0.00  0.1    100047
BNDS   6.100   1.0 P
BNB    7.200   1.0 P
MZN1  29.000   1.0 P
KBAM  42.900   1.0 P
CHMN  44.100   1.0 P
# 2021 11 14 22 13 17.50  27.602  56.217  11.9 0.00 0.00 0.00  0.4    100048
BNDS   4.600   1.0 P
BNB    6.900   1.0 P
MZN1  27.700   1.0 P
JASK  38.900   1.0 P
KBAM  42.800   1.0 P
CHMN  43.500   1.0 P
UOSS  44.500   1.0 P
MZN1  49.700   1.0 S
# 2021 11 14 22 48 53.50  27.595  56.188  12.5 0.00 0.00 0.00  0.5    100049
BNDS   4.700   1.0 P
BNB    7.000   1.0 P
MZN1  27.800   1.0 P
JASK  38.900   1.0 P
CHMN  42.600   1.0 P
KBAM  43.100   1.0 P
UOSS  44.600   1.0 P
MZN1  46.500   1.0 S
# 2021 11 14 22 50 41.80  27.879  56.157  10.0 0.00 0.00 0.00  0.2    100050
BNB   11.600   1.0 P
MZN1  26.400   1.0 P
CHMN  45.100   1.0 P
KBAM  45.400   1.0 P
# 2021 11 15 00 32 24.80  27.566  56.153  11.0 0.00 0.00 0.00  0.3    100051
BNDS   4.300   1.0 P
BNB    7.100   1.0 P
JASK  39.200   1.0 P
KBAM  43.700   1.0 P
CHMN  44.100   1.0 P
MZN1  47.900   1.0 S
# 2021 11 15 00 53 51.50  27.640  56.288   8.3 0.00 0.00 0.00  0.4    100052
BNB    6.600   1.0 P
MZN1  29.800   1.0 P
JASK  40.400   1.0 P
KBAM  43.500   1.0 P
CHMN  43.700   1.0 P
# 2021 11 15 01 07 09.20  27.560  56.059  10.0 0.00 0.00 0.00  0.5    100053
BNDS   5.000   1.0 P
BNB    9.400   1.0 P
CHMN  44.900   1.0 P
MZN1  45.800   1.0 S
KBAM  45.900   1.0 P
KSHB  48.200   1.0 P
# 2021 11 15 01 23 24.60  27.449  56.007  14.3 0.00 0.00 0.00  0.1    100054
BNDS   4.100   1.0 P
BNB    9.500   1.0 P
JASK  39.000   1.0 P
MZN1  44.500   1.0 S
KBAM  45.400   1.0 P
CHMN  45.600   1.0 P
# 2021 11 15 01 32 59.70  27.430  56.160  10.0 0.00 0.00 0.00  0.4    100055
BNB    7.000   1.0 P
KBAM  46.100   1.0 P
