     LON     LAT   DEPTH     MAG    PHUSD   NO_ST   MIND     GAP     RMS     SEH     SEZ  YYYY MM DD HH MN SEC
  56.110  27.586    15.8     3.3      99      99    99.0     360   0.411     2.9     2.9  2021 12 07 19 40 14.80
  56.173  27.600    23.1     3.6      99      99    99.0     360   0.285     3.4     2.4  2021 12 07 23 07 20.21
  56.065  27.540    14.9     3.6      99      99    99.0     360   0.546     5.3     4.2  2021 12 10 11 59 49.43
  56.226  27.523    17.2     4.3      99      99    99.0     360   0.418     4.1     2.4  2021 12 10 17 33 31.55
  56.115  27.586     5.1     2.8      99      99    99.0     360   0.365     7.6     4.1  2021 12 11 08 28 09.68
  56.218  27.573     7.8     2.8      99      99    99.0     360   0.208     5.7     4.7  2021 12 11 16 07 23.14
  56.308  27.477    23.0     2.9      99      99    99.0     360   0.270     8.0     5.6  2021 12 13 04 23 20.07
  56.157  27.549    14.0     3.4      99      99    99.0     360   0.359     3.9     2.3  2021 12 13 05 12 42.63
  56.172  27.494    22.6     3.6      99      99    99.0     360   0.522    10.7     8.7  2021 12 13 06 15 28.17
  56.227  27.592    16.6     3.4      99      99    99.0     360   0.476     4.0     3.7  2021 12 13 16 35 53.45
  56.157  27.545    15.6     2.7      99      99    99.0     360   0.361     3.5     2.7  2021 12 13 22 39 27.01
  56.130  27.596    15.6     4.0      99      99    99.0     360   0.283     3.3     2.7  2021 12 14 15 34 53.81
  56.220  27.591    13.7     2.9      99      99    99.0     360   0.422     3.8     2.9  2021 12 14 20 38 38.28
  56.226  27.602    10.0     3.6      99      99    99.0     360   0.333     5.7     4.8  2021 12 15 00 55 12.58
  56.212  27.598     9.0     2.8      99      99    99.0     360   0.520     4.7     3.5  2021 12 16 21 24 41.52
  56.183  27.579    12.4     2.9      99      99    99.0     360   0.231     3.7     3.4  2021 12 17 03 13 37.84
  56.256  27.525    24.0     3.4      99      99    99.0     360   0.529     6.5     4.7  2021 12 19 14 32 02.08
  56.237  27.571    19.4     4.6      99      99    99.0     360   0.394     3.1     2.4  2021 12 21 16 36 12.19
  56.246  27.574    16.7     3.2      99      99    99.0     360   0.342     3.1     2.5  2021 12 21 18 55 08.66
  56.217  27.569    12.9     2.9      99      99    99.0     360   0.460     4.4     3.6  2021 12 23 15 47 23.32
  56.223  27.505    11.8     2.9      99      99    99.0     360   0.259     6.6     4.5  2021 12 26 09 35 30.85
  56.180  27.601     7.8     2.7      99      99    99.0     360   0.286     4.3     3.5  2021 12 27 05 39 34.09
  56.254  27.635    12.8     3.2      99      99    99.0     360   0.482     4.4     3.5  2021 12 27 07 03 40.10
  56.256  27.590    17.6     5.0      99      99    99.0     360   0.392     3.4     2.9  2021 12 27 07 31 56.11
  56.162  27.621    12.2     3.3      99      99    99.0     360   0.297     4.1     2.6  2021 12 28 04 39 08.40
  55.988  27.508     8.3     3.4      99      99    99.0     360   0.389     8.4     5.9  2022 01 03 21 03 19.60
  56.194  27.569    12.7     2.9      99      99    99.0     360   0.324     4.9     4.1  2022 01 06 15 03 52.18
  56.234  27.462     9.1     2.9      99      99    99.0     360   0.488     8.0     4.4  2022 01 08 01 14 01.53
  56.307  27.524    26.6     3.3      99      99    99.0     360   0.559     9.2     6.7  2022 01 08 04 45 39.39
  56.223  27.630     6.7     3.2      99      99    99.0     360   0.369     4.6     3.1  2022 01 08 16 23 43.03
  56.187  27.678     1.7     3.1      99      99    99.0     360   0.601     5.8     2.4  2022 01 17 21 50 06.96
  56.262  27.546    13.2     2.9      99      99    99.0     360   0.412     6.8     5.0  2022 01 20 15 23 07.51
  56.154  27.570     9.1     2.5      99      99    99.0     360   0.305     4.6     3.1  2022 01 25 18 57 29.67
  56.139  27.589     5.2     2.6      99      99    99.0     360   0.355     6.8     4.4  2022 01 25 19 11 09.33
  56.096  27.577     6.3     2.9      99      99    99.0     360   0.363     7.7     4.1  2022 01 25 19 13 44.39
  56.218  27.644    15.9     3.4      99      99    99.0     360   0.532     6.1     3.6  2022 02 02 09 33 30.85
  56.168  27.435    18.9     2.7      99      99    99.0     360   0.374     4.8     3.1  2022 02 02 13 17 28.89
  56.205  27.537    17.1     3.5      99      99    99.0     360   0.369     4.7     3.2  2022 02 03 05 24 00.74
  56.230  27.664     9.6     3.5      99      99    99.0     360   0.577     4.5     3.8  2022 02 07 11 06 26.42
  56.227  27.520    16.8     3.7      99      99    99.0     360   0.615     4.8     3.8  2022 02 07 23 55 59.03
  56.226  27.518    12.0     2.8      99      99    99.0     360   0.381     6.4     4.6  2022 02 08 00 08 02.14
  56.169  27.523    12.3     3.4      99      99    99.0     360   0.352     3.6     2.7  2022 02 09 23 07 27.80
