     LON     LAT   DEPTH     MAG    PHUSD   NO_ST   MIND     GAP     RMS     SEH     SEZ  YYYY MM DD HH MN SEC
  56.157  27.602    14.5     3.7      99      99    99.0     360   0.271     3.3     2.6  2021 11 16 10 37 29.44
  56.245  27.482    19.0     3.5      99      99    99.0     360   0.330     3.4     2.1  2021 11 16 15 35 47.20
  56.062  27.502    14.8     2.9      99      99    99.0     360   0.281     4.1     2.7  2021 11 16 19 03 13.83
  56.159  27.533    14.0     3.9      99      99    99.0     360   0.397     3.8     3.1  2021 11 16 19 27 41.75
  56.043  27.497    13.7     3.1      99      99    99.0     360   0.332     3.3     2.5  2021 11 16 19 33 46.56
  56.053  27.505    13.9     2.9      99      99    99.0     360   0.240     6.6     5.5  2021 11 16 20 00 48.92
  56.145  27.572     4.2     2.7      99      99    99.0     360   0.270     4.8     3.8  2021 11 16 20 15 26.76
  56.100  27.663    11.6     2.9      99      99    99.0     360   0.330     8.2     7.6  2021 11 16 23 38 46.07
  56.164  27.442    19.0     2.9      99      99    99.0     360   0.148    10.5     6.9  2021 11 17 01 06 26.62
  56.199  27.568    18.2     3.7      99      99    99.0     360   0.324     2.9     2.2  2021 11 17 01 59 40.34
  56.006  27.459    17.7     2.7      99      99    99.0     360   0.430     8.9     6.8  2021 11 17 02 21 08.25
  56.125  27.535    18.7     3.1      99      99    99.0     360   0.422     6.3     5.7  2021 11 17 02 51 34.36
  56.136  27.581    12.6     2.7      99      99    99.0     360   0.358     6.3     6.6  2021 11 17 03 24 29.48
  56.154  27.535    18.9     2.5      99      99    99.0     360   0.414     7.7     6.8  2021 11 17 03 49 55.42
  56.185  27.600    13.9     3.4      99      99    99.0     360   0.348     4.7     4.9  2021 11 17 08 55 10.83
  56.217  27.539    10.8     3.2      99      99    99.0     360   0.304     4.9     2.9  2021 11 17 12 01 17.23
  56.128  27.585    19.8     3.6      99      99    99.0     360   0.383     3.2     2.9  2021 11 17 13 42 22.73
  56.159  27.627     9.9     2.6      99      99    99.0     360   0.405     4.9     3.7  2021 11 17 16 41 01.55
  56.225  27.562    15.8     3.5      99      99    99.0     360   0.324     2.6     2.3  2021 11 17 18 37 18.55
  56.161  27.527    15.3     3.7      99      99    99.0     360   0.360     4.1     3.2  2021 11 17 19 29 37.43
  56.128  27.596    23.0     2.8      99      99    99.0     360   0.208     3.9     3.4  2021 11 17 20 46 36.43
  56.195  27.572    11.3     3.2      99      99    99.0     360   0.303     3.4     2.7  2021 11 17 21 08 35.32
  56.157  27.581    16.9     3.3      99      99    99.0     360   0.302     3.1     2.9  2021 11 17 21 31 58.35
  56.226  27.564    13.7     3.0      99      99    99.0     360   0.254     2.9     2.2  2021 11 17 23 20 25.80
  56.177  27.579    12.6     3.3      99      99    99.0     360   0.257     2.6     2.2  2021 11 17 23 53 46.47
  56.066  27.549    13.8     3.2      99      99    99.0     360   0.621     6.9     5.7  2021 11 18 01 50 47.46
  56.273  27.514    16.0     3.4      99      99    99.0     360   0.340     4.8     2.9  2021 11 18 02 18 15.14
