FIR   8.440 1.00 Pg
LAS   6.810 1.00 Pg
LAS  11.590 1.00 Sg
VRN  25.260 1.00 Pg
# 2018 01 12 04 39 53.600000 36.542 52.923  18.0  1.9 0.0 0.0 0.0        36
ALA   9.720 1.00 Pg
DMV  22.920 1.00 Pg
GLO  14.420 1.00 Pg
PRN  11.600 1.00 Pg
MZPU 36.700 1.00 Sg
# 2018 01 12 07 22 23.200000 35.365 52.389  10.0  1.7 0.0 0.0 0.0        37
DMV   7.880 1.00 Pg
FIR   7.840 1.00 Pg
LAS   9.480 1.00 Pg
SFB  19.500 1.00 Pg
VRN  13.060 1.00 Pg
LAS  17.020 1.00 Sg
# 2018 01 12 12 16 13.600000 35.756 50.998  10.6  2.2 0.0 0.0 0.0        38
AMD1  2.960 1.00 Pg
ALA  28.840 1.00 Pg
DMV  16.860 1.00 Pg
HSB   8.660 1.00 Pg
KLH  43.140 1.00 Pn
KRSH 36.700 1.00 Pn
LAS  31.260 1.00 Pg
MHD   5.700 1.00 Pg
MZPU 16.140 1.00 Pg
QOM  17.040 1.00 Pg
RAZ  16.820 0.50 Pg
SFB  31.440 1.00 Pg
VRN  18.680 1.00 Pg
# 2018 01 12 13 39 29.100000 34.120 50.626   9.6  1.7 0.0 0.0 0.0        39
DMV  33.760 1.00 Pn
KLH  21.970 1.00 Pg
KRSH 24.400 1.00 Pg
PIR  27.660 1.00 Pg
QAMS 14.820 1.00 Pg
QOM  16.200 1.00 Pg
RAZ  27.060 1.00 Pg
SFB  25.240 1.00 Pg
VRN  24.400 1.00 Pg
HSAM 31.000 1.00 Pg
ZEF  34.930 1.00 Pn
# 2018 01 12 14 16 41.200000 36.294 53.573   8.0  1.7 0.0 0.0 0.0        40
ALA  12.980 1.00 Pg
ANJ  17.120 1.00 Pg
DMV  27.360 1.00 Pg
FIR  17.780 1.00 Pg
GLO   6.180 1.00 Pg
LAS  20.350 1.00 Pg
PRN  19.440 1.00 Pg
ALA  22.980 1.00 Sg
# 2018 01 12 14 26 22.700000 35.546 53.204  16.0  1.9 0.0 0.0 0.0        41
ANJ  11.000 1.00 Pg
DMV  18.520 1.00 Pg
FIR   8.240 1.00 Pg
GLO  21.440 1.00 Pg
LAS   6.460 1.00 Pg
SFB  26.320 1.00 Pg
VRN  24.700 1.00 Pg
ALA  21.120 1.00 Sg
# 2018 01 12 16 16 13.600000 35.605 53.241  12.0  1.7 0.0 0.0 0.0        42
ANJ  11.570 1.00 Pg
DMV  19.220 1.00 Pg
FIR   8.580 1.00 Pg
LAS   7.490 1.00 Pg
VRN  25.840 1.00 Pg
SFB  27.560 1.00 Pg
# 2018 01 12 16 47 58.600000 35.555 53.226  18.4  1.5 0.0 0.0 0.0        43
ANJ  11.240 1.00 Pg
DMV  18.980 1.00 Pg
FIR   8.500 1.00 Pg
LAS   6.770 1.00 Pg
SFB  27.280 1.00 Pg
VRN  25.220 1.00 Pg
SFB  47.580 1.00 Sg
FIR  14.540 1.00 Sg
# 2018 01 12 17 48 44.500000 36.249 53.604  10.0  1.5 0.0 0.0 0.0        44
GLO   6.240 1.00 Pg
FIR  18.180 1.00 Pg
PRN  19.840 1.00 Pg
GLO  12.060 1.00 Sg
# 2018 01 12 19 58 47.400000 36.705 50.967   8.0  2.4 0.0 0.0 0.0        45
DMV  27.240 1.00 Pg
FIR  33.900 1.00 Pg
GLO  40.220 1.00 Pn
KLST  4.260 1.00 Pg
HSB  24.980 1.00 Pg
LHJ2 17.120 1.00 Pg
MHD  20.380 1.00 Pg
MZPU 11.560 1.00 Pg
PRN  22.120 1.00 Pg
QOM  34.800 1.00 Pn
QSDN 27.760 1.00 Pg
RAZ  29.060 1.00 Pg
VRN  33.740 1.00 Pn
# 2018 01 13 03 09 04.400000 36.054 53.277  10.0  1.3 0.0 0.0 0.0        46
ALA   7.700 1.00 Pg
FIR  11.860 1.00 Pg
GLO  12.600 1.00 Pg
ALA  14.000 1.00 Sg
# 2018 01 13 03 10 01.400000 36.651 50.926   8.0  1.8 0.0 0.0 0.0        47
JIR1 17.920 1.00 Pg
KLST  3.760 1.00 Pg
LHJ2 16.440 1.00 Pg
MHD  19.420 1.00 Pg
MZPU 11.620 1.00 Pg
PRN  23.020 1.00 Pg
QSDN 27.620 1.00 Pg
RAZ  28.100 1.00 Pg
DMV  27.060 1.00 Pg
# 2018 01 13 07 00 02.700000 35.892 53.140   8.0  2.4 0.0 0.0 0.0        48
ALA   6.460 1.00 Pg
VRN  27.900 1.00 Pg
QAMS 44.440 1.00 Pn
PRN  14.120 1.00 Pg
MZPU 26.340 1.00 Pg
LAS  10.450 1.00 Pg
KRSH 37.780 1.00 Pn
KLST 33.980 1.00 Pg
GLO  16.020 1.00 Pg
FIR   8.200 1.00 Pg
DMV  18.140 1.00 Pg
# 2018 01 13 09 13 38.900000 35.686 50.926  17.1  2.0 0.0 0.0 0.0        49
AMD1  3.260 1.00 Pg
VRN  17.960 1.00 Pg
SFB  30.940 1.00 Pg
RAZ  16.420 1.00 Pg
QOM  16.220 1.00 Pg
MZPU 17.760 1.00 Pg
MHD   5.500 1.00 Pg
MHD   9.020 1.00 Sg
KLST 15.940 1.00 Pg
# 2018 01 13 17 58 21.300000 35.844 53.701   8.0  2.3 0.0 0.0 0.0        50
ALA  14.920 1.00 Pg
ANJ   8.480 1.00 Pg
DMV  26.700 1.00 Pg
FIR  15.520 1.00 Pg
GLO  13.180 1.00 Pg
LAS  14.870 1.00 Pg
VRN  33.540 1.00 Pn
# 2018 01 14 04 43 46.600000 34.983 53.983  12.2  1.9 0.0 0.0 0.0        51
SFB  29.320 1.00 Pg
KRSH 33.540 1.00 Pn
FIR  23.380 1.00 Pg
DMV  31.340 1.00 Pg
ANJ   9.840 1.00 Pg
SFB  51.020 1.00 Sg
# 2018 01 14 04 52 28.400000 36.828 49.395   6.0  2.4 0.0 0.0 0.0        52
RAZ  29.800 1.00 Pg
QSDN  9.000 1.00 Pg
JIR1  8.020 1.00 Pg
KLST 28.060 1.00 Pg
HSH  34.170 1.00 Pg
QSDN 14.720 1.00 Sg
# 2018 01 14 14 32 36.100000 35.165 53.692   7.5  1.8 0.0 0.0 0.0        53
ANJ   7.390 1.00 Pg
DMV  26.660 1.00 Pg
FIR  17.780 1.00 Pg
GLO  26.620 1.00 Pg
LAS  13.240 1.00 Pg
SFB  27.620 1.00 Pg
VRN  29.860 1.00 Pg
KRSH 32.800 1.00 Pg
ANJ  12.490 1.00 Sg
# 2018 01 14 15 39 39.000000 35.298 52.276  11.3  1.5 0.0 0.0 0.0        54
ALA  17.520 1.00 Pg
DMV   7.120 1.00 Pg
FIR  10.160 1.00 Pg
LAS  11.760 1.00 Pg
SFB  18.320 1.00 Pg
VRN  11.540 1.00 Pg
DMV  12.720 1.00 Sg
KLH  37.230 1.00 Pn
KRSH 25.200 1.00 Pg
QAMS 30.720 1.00 Pg
# 2018 01 14 23 02 43.100000 35.572 53.238  18.0  1.7 0.0 0.0 0.0        55
ANJ  11.360 1.00 Pg
DMV  19.020 1.00 Pg
FIR   8.500 1.00 Pg
LAS   6.900 1.00 Pg
SFB  27.320 1.00 Pg
VRN  25.740 1.00 Pg
ALA  21.760 1.00 Sg
# 2018 01 14 23 11 12.500000 35.200 53.717  19.6  1.8 0.0 0.0 0.0        56
ANJ   7.260 1.00 Pg
FIR  17.440 1.00 Pg
DMV  26.780 1.00 Pg
LAS  13.190 1.00 Pg
SFB  27.760 1.00 Pg
VRN  29.760 1.00 Pg
ANJ  12.380 1.00 Sg
# 2018 01 14 23 32 37.100000 34.046 49.956  10.0  1.6 0.0 0.0 0.0        57
KLH  29.320 1.00 Pg
QAMS 24.020 1.00 Pg
PIR  29.940 1.00 Pg
QOM  23.400 1.00 Pg
HAGD 19.600 1.00 Pg
HSAM 22.240 1.00 Pg
