DMV  31.320 1.00 Pn
KLH  27.660 1.00 Pg
LAS  24.550 1.00 Pg
SHM  30.720 1.00 Pg
VRN  27.760 1.00 Pg
ZEF  25.140 1.00 Pg
# 2011 01 08 18 07 10.700000 35.752 52.652   5.0  2.8 0.0 0.0 0.0        32
DMV   8.820 1.00 Pg
FIR   1.940 1.00 Pg
IL5  31.390 1.00 Pg
KLH  43.450 1.00 Pn
LAS   7.740 1.00 Pg
MHD  29.320 1.00 Pg
QAM  37.680 1.00 Pn
SHM  10.030 1.00 Pg
VRN  18.660 1.00 Pg
VRN  34.060 1.00 Sg
DMV  16.500 1.00 Sg
# 2011 01 08 22 20 54.400000 35.404 52.226  17.7  1.3 0.0 0.0 0.0        33
DMV   5.320 1.00 Pg
FIR   9.520 1.00 Pg
VRN  10.900 1.00 Pg
SHM  17.360 1.00 Pg
VRN  18.670 1.00 Sg
# 2011 01 08 22 35 12.100000 36.552 51.010   7.9  1.9 0.0 0.0 0.0        34
SHM  34.140 1.00 Pn
GZV  11.880 1.00 Pg
FIR  29.680 1.00 Pg
DMV  23.220 1.00 Pg
FIR  52.240 1.00 Sg
# 2011 01 09 00 36 05.200000 35.721 52.769  20.3  1.2 0.0 0.0 0.0        35
FIR   1.830 0.00 Pg
DMV  12.250 1.00 Pg
SHM   8.550 1.00 Pg
VRN  20.950 1.00 Pg
LAS   7.830 1.00 Pg
SHM  16.010 1.00 Sg
DMV  20.950 1.00 Sg
# 2011 01 09 02 46 46.000000 36.530 52.893   5.0  1.5 0.0 0.0 0.0        36
DMV  23.120 1.00 Pg
FIR  17.850 1.00 Pg
SHM  16.050 1.00 Pg
FIR  31.050 1.00 Sg
SHM  27.110 1.00 Sg
# 2011 01 09 07 33 58.800000 35.515 53.223  12.3  0.8 0.0 0.0 0.0        37
LAS   4.980 1.00 Pg
FIR   7.320 1.00 Pg
ANJ  10.700 1.00 Pg
FIR  13.680 1.00 Sg
SHM  10.060 1.00 Sg
# 2011 01 09 12 19 41.100000 35.237 51.927  16.2  1.8 0.0 0.0 0.0        38
DMV   6.930 1.00 Pg
ANJ  28.410 1.00 Pg
FIR  14.480 1.00 Pg
IL5  19.640 1.00 Pg
LAS  15.440 1.00 Pg
RAZ  28.830 1.00 Pg
VRN   6.030 1.00 Pg
VRN  10.530 1.00 Sg
IL5  35.110 1.00 Sg
DMV  12.370 1.00 Sg
FIR  25.380 1.00 Sg
RAZ  51.190 1.00 Sg
# 2011 01 10 07 03 54.600000 36.663 50.995   3.0  2.5 0.0 0.0 0.0        39
DMV  24.820 1.00 Pg
RAZ  27.700 1.00 Pg
VRN  31.660 1.00 Pg
VRN  55.120 1.00 Sg
RAZ  47.720 1.00 Sg
DMV  42.560 1.00 Sg
GLO  38.770 1.00 Pn
PRN  20.700 1.00 Pg
# 2011 01 10 12 28 56.000000 35.258 52.147   5.0  1.6 0.0 0.0 0.0        40
VRN   8.920 1.00 Pg
FIR  12.180 1.00 Pg
DMV   6.030 1.00 Pg
FIR  22.060 1.00 Sg
DMV  12.230 1.00 Sg
# 2011 01 10 16 49 16.700000 35.736 52.306   6.7  2.3 0.0 0.0 0.0        41
DMV   5.530 1.00 Pg
FIR   8.050 1.00 Pg
LAS  13.030 1.00 Pg
VRN  16.880 1.00 Pg
RAZ  34.030 1.00 Pn
FIR  13.050 1.00 Sg
DMV  10.150 1.00 Sg
VRN  30.240 1.00 Sg
# 2011 01 11 01 00 26.500000 35.755 52.270   8.0  2.1 0.0 0.0 0.0        42
DMV   5.410 1.00 Pg
FIR   8.060 1.00 Pg
VRN  16.790 1.00 Pg
RAZ  34.060 1.00 Pn
FIR  14.300 1.00 Sg
# 2011 01 11 12 45 46.500000 35.666 49.562   6.0  2.4 0.0 0.0 0.0        43
DMV  34.730 1.00 Pn
GZV  16.190 1.00 Pg
IL5  16.850 1.00 Pg
MHD  16.040 1.00 Pg
RAZ   7.230 1.00 Pg
VRN  33.100 1.00 Pn
MHD  28.400 1.00 Sg
GZV  27.710 1.00 Sg
RAZ  12.410 1.00 Sg
# 2011 01 12 05 37 02.000000 36.452 52.580  19.8  2.3 0.0 0.0 0.0        44
VRN  27.680 1.00 Pg
PRN   5.710 1.00 Pg
MHD  31.180 1.00 Pg
LAS  20.430 1.00 Pg
GLO  18.840 1.00 Pg
FIR  14.910 1.00 Pg
DMV  17.920 1.00 Pg
ALA   7.930 1.00 Pg
PRN  11.310 1.00 Sg
LAS  35.320 1.00 Sg
# 2011 01 12 14 15 22.400000 35.766 51.982  15.7  1.7 0.0 0.0 0.0        45
RAZ  31.290 1.00 Pg
VRN  15.050 1.00 Pg
DMV   4.880 1.00 Pg
DMV   8.460 1.00 Sg
# 2011 01 13 00 03 47.900000 35.427 52.819  19.9  1.3 0.0 0.0 0.0        46
LAS   4.270 1.00 Pg
FIR   5.430 1.00 Pg
DMV  12.450 1.00 Pg
FIR   9.370 1.00 Sg
# 2011 01 13 06 38 10.400000 36.230 52.691   8.0  2.5 0.0 0.0 0.0        47
ANJ  22.920 1.00 Pg
DMV  14.500 1.00 Pg
DMV  27.000 1.00 Sg
FIR  10.330 1.00 Pg
GZV  34.770 1.00 Pn
LAS  16.080 1.00 Pg
SHM  11.440 1.00 Pg
# 2011 01 13 07 35 37.900000 37.236 53.808  17.0  2.7 0.0 0.0 0.0        48
ANJ  30.140 1.00 Pg
FIR  31.680 0.50 Pn
GZV  46.710 1.00 Pn
SHM  26.210 1.00 Pg
# 2011 01 13 15 01 10.200000 34.314 52.344  28.8  1.5 0.0 0.0 0.0        49
DMV  24.140 1.00 Pg
FIR  24.670 1.00 Pg
KLH  21.740 1.00 Pg
QAM  17.220 1.00 Pg
ZEF  26.040 1.00 Pg
ZEF  45.060 1.00 Sg
QAM  30.320 1.00 Sg
# 2011 01 13 15 19 47.100000 35.847 52.989   7.1  1.6 0.0 0.0 0.0        50
DMV  14.980 1.00 Pg
FIR   4.850 1.00 Pg
GLO  17.070 1.00 Pg
LAS   8.550 1.00 Pg
FIR   9.330 1.00 Sg
# 2011 01 13 23 09 39.200000 35.564 49.765   9.8  1.4 0.0 0.0 0.0        51
GZV  16.250 1.00 Pg
RAZ   4.190 1.00 Pg
MHD  13.490 1.00 Pg
RAZ   7.270 1.00 Sg
# 2011 01 15 08 11 26.700000 35.376 53.376  26.1  1.3 0.0 0.0 0.0        52
ANJ   9.260 1.00 Pg
FIR  11.470 1.00 Pg
LAS   7.460 1.00 Pg
FIR  19.460 1.00 Sg
LAS  13.400 1.00 Sg
# 2011 01 15 08 34 57.700000 35.578 53.241  14.6  1.2 0.0 0.0 0.0        53
LAS   5.520 1.00 Pg
FIR   7.480 1.00 Pg
ANJ  10.570 1.00 Pg
DMV  18.240 1.00 Pg
LAS  10.820 1.00 Sg
FIR  13.480 1.00 Sg
# 2011 01 16 01 09 07.300000 35.017 50.632   7.5  2.3 0.0 0.0 0.0        54
DMV  22.640 1.00 Pg
FIR  31.960 1.00 Pn
IL5   3.880 1.00 Pg
KLH  33.120 1.00 Pn
LAS  33.500 1.00 Pn
QAM  25.590 1.00 Pg
ZEF  43.890 0.50 Pn
IL5   6.850 1.00 Sg
DMV  40.060 1.00 Sg
# 2011 01 16 03 17 09.000000 35.372 53.269   2.5  2.3 0.0 0.0 0.0        55
ALA  14.030 1.00 Pg
DMV  18.660 1.00 Pg
FIR   8.900 1.00 Pg
GLO  21.720 1.00 Pg
LAS   4.400 1.00 Pg
PRN  21.440 1.00 Pg
QAM  36.800 1.00 Pn
ZEF  43.310 1.00 Pn
# 2011 01 16 10 15 34.700000 36.531 49.762   3.4  2.3 0.0 0.0 0.0        56
BST  42.360 1.00 Pn
DMV  35.880 1.00 Pn
HRS  45.490 1.00 Pn
MHD  19.940 1.00 Pg
RAZ  20.520 1.00 Pg
SRB  36.140 1.00 Pn
# 2011 01 16 12 01 45.100000 36.793 50.725   5.8  3.5 0.0 0.0 0.0        57
ALA  31.550 1.00 Pn
ANJ  47.180 1.00 Pn
BST  50.230 1.00 Pn
DMV  29.050 1.00 Pg
FIR  35.130 1.00 Pn
GLO  40.690 1.00 Pn
GZV  11.130 1.00 Pg
IL5  27.660 1.00 Pg
LAS  38.980 1.00 Pn
MHD  19.750 1.00 Pg
PRN  24.920 1.00 Pg
RAZ  26.810 1.00 Pg
SRB  43.220 1.00 Pn
PRN  44.100 1.00 Sg
MHD  34.310 1.00 Sg
KHMZ 50.500 1.00 Pn
ASAO 38.890 1.00 Pn
THKV 16.010 1.00 Pg
CHTH 16.810 1.00 Pg
# 2011 01 16 17 27 39.600000 34.989 50.105   4.4  3.4 0.0 0.0 0.0        58
BST  59.760 0.50 Pn
DMV  29.730 1.00 Pg
FIR  38.750 1.00 Pn
GZV  25.230 1.00 Pg
IL5   8.100 1.00 Pg
MHD  14.880 1.00 Pg
QAM  28.950 1.00 Pg
RAZ   8.120 1.00 Pg
NASN 50.600 1.00 Pn
KHMZ 22.320 1.00 Pg
ASAO  8.140 1.00 Pg
CHTH 22.300 1.00 Pg
QAM  51.700 1.00 Sg
GZV  44.670 0.00 Sg
DMV  52.450 1.00 Sg
# 2011 01 16 17 38 37.200000 34.984 50.124  12.2  2.4 0.0 0.0 0.0        59
DMV  30.080 1.00 Pg
GZV  25.410 1.00 Pg
QAM  29.560 1.00 Pg
RAZ   8.300 1.00 Pg
RAZ  14.720 1.00 Sg
# 2011 01 16 18 17 06.600000 35.046 50.062  32.1  2.4 0.0 0.0 0.0        60
DMV  30.240 1.00 Pg
GZV  25.400 1.00 Pg
IL5  10.680 1.00 Pg
MHD  15.090 1.00 Pg
RAZ   8.360 1.00 Pg
RAZ  14.940 1.00 Sg
# 2011 01 16 20 46 40.700000 36.952 50.546  18.0  2.6 0.0 0.0 0.0        61
DMV  33.760 1.00 Pn
FIR  39.500 1.00 Pn
RAZ  29.090 1.00 Pg
PRN  28.960 1.00 Pg
PRN  50.260 1.00 Sg
# 2011 01 16 21 49 39.500000 35.145 50.135  17.6  2.6 0.0 0.0 0.0        62
DMV  27.420 1.00 Pg
FIR  36.300 1.00 Pn
LAS  37.550 1.00 Pn
PIR  40.770 1.00 Pn
QAM  26.390 0.00 Pg
RAZ   5.610 1.00 Pg
ZEF  45.570 1.00 Pn
RAZ  11.800 1.00 Sg
KLH  35.210 1.00 Pn
DMV  50.580 1.00 Sg
# 2011 01 17 17 59 27.400000 35.576 50.147  21.2  1.7 0.0 0.0 0.0        63
IL5   9.910 1.00 Pg
IL5  16.930 1.00 Sg
MHD   8.590 1.00 Pg
RAZ   5.740 1.00 Pg
RAZ  10.100 1.00 Sg
MHD  15.050 1.00 Sg
# 2011 01 17 18 29 43.900000 35.514 51.880  13.9  1.7 0.0 0.0 0.0        64
DMV   3.820 1.00 Pg
FIR  14.330 1.00 Pg
FIR  23.910 1.00 Sg
MHD  18.720 1.00 Pg
IL5  35.590 1.00 Sg
DMV   6.980 1.00 Sg
# 2011 01 17 19 44 56.800000 35.089 53.457   6.1  2.1 0.0 0.0 0.0        65
DMV  23.040 1.00 Pg
FIR  13.670 1.00 Pg
GLO  26.250 1.00 Pg
LAS   9.080 1.00 Pg
DMV  39.680 1.00 Sg
PRN  27.010 1.00 Pg
# 2011 01 19 13 45 32.800000 35.543 51.567  14.7  1.1 0.0 0.0 0.0        66
AFJ   7.250 1.00 Pg
DMV   7.760 1.00 Pg
FIR  18.280 1.00 Pg
DMV  13.780 1.00 Sg
AFJ  12.270 1.00 Sg
# 2011 01 19 14 06 30.900000 35.595 51.659  12.0  1.5 0.0 0.0 0.0        67
AFJ   5.290 1.00 Pg
DMV   5.840 1.00 Pg
FIR  16.680 1.00 Pg
RAZ  25.900 1.00 Pg
AFJ  10.110 1.00 Sg
ANJ  33.570 0.00 Pn
RAZ  45.840 1.00 Sg
DMV  11.620 1.00 Sg
# 2011 01 19 14 33 46.600000 35.574 51.579  21.4  1.4 0.0 0.0 0.0        68
DMV   7.820 1.00 Pg
FIR  18.670 1.00 Pg
AFJ   6.700 1.00 Pg
AFJ  12.360 1.00 Sg
DMV  14.100 1.00 Sg
FIR  31.230 1.00 Sg
# 2011 01 20 09 52 09.400000 36.023 50.567   5.0  1.5 0.0 0.0 0.0        69
AFJ  16.340 1.00 Pg
FIR  32.320 1.00 Pn
GZV   7.760 1.00 Pg
IL5  14.480 1.00 Pg
MHD   6.310 1.00 Pg
RAZ  14.830 1.00 Pg
AFJ  29.980 1.00 Sg
GZV  14.900 1.00 Sg
# 2011 01 20 11 07 04.800000 35.632 51.783  12.0  1.7 0.0 0.0 0.0        70
AFJ   5.170 1.00 Pg
DMV   4.770 1.00 Pg
FIR  15.070 1.00 Pg
IL5  20.000 1.00 Pg
RAZ  28.110 1.00 Pg
# 2011 01 20 23 36 44.300000 36.201 53.758  28.8  1.7 0.0 0.0 0.0        71
ALA  14.570 0.50 Pg
DMV  28.300 1.00 Pg
FIR  18.480 1.00 Pg
GLO   7.810 1.00 Pg
PRN  21.760 1.00 Pg
LAS  20.960 0.50 Pg
PRN  37.680 1.00 Sg
ALA  26.050 1.00 Sg
FIR  33.260 1.00 Sg
# 2011 01 21 07 48 18.900000 37.118 53.251  30.9  2.3 0.0 0.0 0.0        72
ALA  20.410 1.00 Pg
GLO  14.880 1.00 Pg
PRN  21.200 1.00 Pg
GLO  25.780 1.00 Sg
# 2011 01 21 10 26 08.000000 35.968 53.257  35.4  1.8 0.0 0.0 0.0        73
ANJ  14.570 1.00 Pg
FIR  11.120 1.00 Pg
KIA   9.290 1.00 Pg
ALA  15.760 1.00 Sg
GLO  14.280 1.00 Pg
ALA   9.520 1.00 Pg
# 2011 01 21 10 54 15.500000 34.439 52.330  16.4  2.6 0.0 0.0 0.0        74
AFJ  26.450 1.00 Pg
ANJ  28.810 1.00 Pg
ZEF  26.940 1.00 Pg
RAZ  38.240 0.50 Pn
PIR  37.690 0.00 Pn
LAS  19.600 1.00 Pg
KLH  22.640 1.00 Pg
IL5  28.920 1.00 Pg
GAR  36.750 0.00 Pn
FIR  22.270 1.00 Pg
DMV  20.830 1.00 Pg
QAM  32.190 1.00 Sg
QAM  18.970 1.00 Pg
FIR  39.750 1.00 Sg
LAS  33.680 1.00 Sg
KLH  40.420 1.00 Sg
ZEF  47.960 1.00 Sg
AFJ  47.530 1.00 Sg
IL5  50.660 1.00 Sg
# 2011 01 23 10 43 45.700000 35.309 50.153   5.0  2.3 0.0 0.0 0.0        75
AFJ  24.760 1.00 Pg
ALA  38.800 1.00 Pn
DMV  27.910 1.00 Pg
FIR  36.880 1.00 Pn
IL5   6.360 1.00 Pg
MHD  10.090 1.00 Pg
RAZ   3.880 1.00 Pg
MHD  17.670 1.00 Sg
IL5  11.540 1.00 Sg
# 2011 01 23 20 38 39.000000 34.828 51.887   4.7  3.2 0.0 0.0 0.0        76
ALA  25.540 1.00 Pg
BAF  68.360 1.00 Pn
DMV  13.500 1.00 Pg
FIR  18.710 1.00 Pg
GAR  42.260 0.00 Pn
GLO  39.600 1.00 Pn
GZV  36.090 1.00 Pn
IL5  20.240 1.00 Pg
KLH  26.940 1.00 Pg
LAS  18.550 1.00 Pg
MHD  23.340 1.00 Pg
PIR  40.960 0.00 Pn
RAZ  29.940 1.00 Pg
ZEF  33.920 1.00 Pn
ALA  45.730 1.00 Sg
DMV  24.200 1.00 Sg
IL5  35.720 1.00 Sg
KLH  47.420 1.00 Sg
LAS  32.590 0.00 Sg
MHD  41.680 1.00 Sg
RAZ  52.690 1.00 Sg
PRN  25.900 1.00 Pg
NASN 37.490 1.00 Pn
TABS 68.510 1.00 Pn
KHMZ 33.750 1.00 Pn
CHTH 21.960 0.00 Pg
ASAO 28.110 1.00 Pg
GHVR 12.420 1.00 Pg
DAMV 14.900 1.00 Pg
# 2011 01 24 00 47 08.000000 35.918 53.033  32.1  1.6 0.0 0.0 0.0        77
LAS  11.190 1.00 Pg
FIR   8.570 1.00 Pg
ALA   7.190 1.00 Pg
ALA  12.430 1.00 Sg
# 2011 01 24 00 55 37.700000 35.924 53.215  10.0  1.6 0.0 0.0 0.0        78
ALA   6.900 1.00 Pg
DMV  18.740 1.00 Pg
FIR   8.450 1.00 Pg
GLO  13.880 1.00 Pg
LAS  10.780 1.00 Pg
LAS  18.380 1.00 Sg
# 2011 01 24 09 44 06.800000 35.326 50.197   7.0  2.4 0.0 0.0 0.0        79
RAZ   4.220 1.00 Pg
MHD  10.070 1.00 Pg
IL5   6.500 1.00 Pg
FIR  37.140 0.50 Pn
# 2011 01 24 11 41 40.300000 35.286 50.146  15.5  2.1 0.0 0.0 0.0        80
IL5   7.050 1.00 Pg
RAZ   4.890 1.00 Pg
MHD  10.860 1.00 Pg
RAZ   8.290 1.00 Sg
IL5  12.350 1.00 Sg
# 2011 01 24 22 02 49.800000 35.961 53.272  18.0  1.5 0.0 0.0 0.0        81
ALA   7.430 1.00 Pg
DMV  19.880 1.00 Pg
FIR   9.700 1.00 Pg
GLO  12.660 1.00 Pg
LAS  12.490 1.00 Pg
ALA  13.890 1.00 Sg
FIR  17.230 1.00 Sg
GLO  22.880 1.00 Sg
LAS  20.330 1.00 Sg
# 2011 01 25 11 54 13.400000 35.392 52.821  19.4  1.3 0.0 0.0 0.0        82
FIR   5.830 1.00 Pg
DMV  12.590 1.00 Pg
LAS   4.100 1.00 Pg
DMV  21.810 1.00 Sg
# 2011 01 25 15 09 06.700000 35.621 51.969  16.2  2.2 0.0 0.0 0.0        83
DMV   3.120 1.00 Pg
FIR  12.000 1.00 Pg
MHD  19.370 1.00 Pg
IL5  21.920 1.00 Pg
DMV   5.840 1.00 Sg
# 2011 01 25 16 26 15.300000 36.140 53.269  17.3  1.6 0.0 0.0 0.0        84
FIR  11.960 1.00 Pg
DMV  21.200 1.00 Pg
LAS  15.140 1.00 Pg
ANJ  15.380 1.00 Pg
ALA   6.810 1.00 Pg
GLO  11.170 1.00 Pg
PRN  13.990 1.00 Pg
ALA  13.330 1.00 Sg
