   LON    LAT DEPTH MAG NSTUSED NPHASEP NPHASES MIND GAP  RMS SEH  SEZ YYYY MM DD HH MN   SEC
56.137 27.619   6.5 2.8     NaN     217      19  NaN NaN 0.44 1.6  3.2 2021 11 15 21 37 37.50
56.182 27.632  10.9 2.8     NaN     356       0  NaN NaN 0.25 1.5  3.2 2021 11 15 21 54 40.44
55.954 27.494  15.3 3.1     NaN      45       6  NaN NaN 0.38 2.2  4.1 2021 11 15 22 31 49.88
56.110 27.406  24.8 2.8     NaN       5       0  NaN NaN 0.10 3.6  4.4 2021 11 15 22 34 55.64
56.090 27.604   6.6 3.1     NaN     175      13  NaN NaN 0.51 1.9  4.1 2021 11 15 22 51 21.36
56.224 27.489  17.0 2.9     NaN     249       0  NaN NaN 0.27 1.4  2.0 2021 11 15 23 47 54.64
56.189 27.505  10.8 2.6     NaN     297       0  NaN NaN 0.36 1.6  2.5 2021 11 15 23 55 12.02
56.180 27.566  14.0 2.9     NaN     574       5  NaN NaN 0.31 1.3  2.3 2021 11 16  0 17 14.87
56.220 27.599   6.8 2.8     NaN     342       4  NaN NaN 0.35 1.4  2.5 2021 11 16  0 48 48.87
56.162 27.555   9.1 2.6     NaN     471       4  NaN NaN 0.43 1.2  2.1 2021 11 16  1 17 17.02
56.043 27.522  13.3 2.9     NaN     112       6  NaN NaN 0.36 2.2  2.8 2021 11 16  1 35  5.00
56.108 27.596  14.4 2.6     NaN     303      36  NaN NaN 0.41 2.4  3.3 2021 11 16  1 58 53.74
56.175 27.509  17.7 2.7     NaN     552       0  NaN NaN 0.32 1.6  2.4 2021 11 16  2  9 29.98
56.009 27.457  22.0 2.8     NaN      32       2  NaN NaN 0.37 3.9  7.3 2021 11 16  2 12 53.64
56.125 27.480  17.1 2.5     NaN     152      13  NaN NaN 0.30 2.2  3.8 2021 11 16  2 21 41.04
56.254 27.660   4.1 2.6     NaN      80       7  NaN NaN 0.40 2.7  5.3 2021 11 16  2 44 14.89
56.131 27.567  19.6 4.1     NaN     253      12  NaN NaN 0.37 1.8  2.8 2021 11 16  5 12 14.03
56.135 27.458  21.8 3.2     NaN      55       5  NaN NaN 0.62 2.4  3.2 2021 11 16  5 56 25.27
56.154 27.612   3.9 2.8     NaN      75       0  NaN NaN 0.22 2.8  7.1 2021 11 16  9  9 52.72
56.157 27.615  13.5 3.7     NaN     390      17  NaN NaN 0.33 1.3  2.5 2021 11 16 10 37 29.42
56.247 27.484  18.8 3.5     NaN     187       8  NaN NaN 0.41 1.4  2.0 2021 11 16 15 35 47.25
56.061 27.503  14.4 2.9     NaN      65       0  NaN NaN 0.28 2.6  3.7 2021 11 16 19  3 13.84
56.149 27.528  14.9 3.9     NaN     411      36  NaN NaN 0.45 1.5  2.8 2021 11 16 19 27 41.76
56.040 27.500  13.1 3.1     NaN     201      12  NaN NaN 0.41 2.0  2.8 2021 11 16 19 33 46.56
56.051 27.498  14.1 2.9     NaN     120       0  NaN NaN 0.29 2.4  4.0 2021 11 16 20  0 48.92
56.145 27.583   1.4 2.7     NaN     159       0  NaN NaN 0.29 2.8  7.3 2021 11 16 20 15 26.48
56.098 27.678   9.4 2.9     NaN      20       0  NaN NaN 0.30 3.5  6.1 2021 11 16 23 38 45.88
56.193 27.567  18.9 3.7     NaN     499      27  NaN NaN 0.37 1.5  2.2 2021 11 17  1 59 40.35
56.005 27.463  17.4 2.7     NaN      30       0  NaN NaN 0.40 5.9  9.1 2021 11 17  2 21  8.35
56.116 27.539  18.9 3.1     NaN     241      34  NaN NaN 0.45 2.5  4.3 2021 11 17  2 51 34.42
56.133 27.620   7.1 2.7     NaN     127       0  NaN NaN 0.43 2.5  5.2 2021 11 17  3 24 29.25
56.148 27.544  18.8 2.5     NaN     216      32  NaN NaN 0.44 5.5 10.2 2021 11 17  3 49 55.43
56.174 27.606  14.1 3.4     NaN     390      29  NaN NaN 0.42 1.8  3.7 2021 11 17  8 55 10.80
56.213 27.531  12.0 3.2     NaN     295      18  NaN NaN 0.48 1.3  2.1 2021 11 17 12  1 17.29
56.122 27.582  20.7 3.6     NaN     344      28  NaN NaN 0.44 1.6  2.4 2021 11 17 13 42 22.79
56.149 27.636   8.6 2.6     NaN     140      17  NaN NaN 0.44 1.9  3.7 2021 11 17 16 41  1.41
56.218 27.562  16.5 3.5     NaN     405      49  NaN NaN 0.39 1.4  2.6 2021 11 17 18 37 18.60
56.149 27.527  15.8 3.7     NaN     542      31  NaN NaN 0.34 1.5  2.6 2021 11 17 19 29 37.44
56.120 27.596  23.1 2.8     NaN     114      13  NaN NaN 0.32 1.8  3.0 2021 11 17 20 46 36.44
56.193 27.574  11.2 3.2     NaN     358      25  NaN NaN 0.38 1.5  3.1 2021 11 17 21  8 35.28
56.153 27.583  16.6 3.3     NaN     335      14  NaN NaN 0.43 1.4  2.4 2021 11 17 21 31 58.40
56.227 27.562  14.6 3.0     NaN     543      30  NaN NaN 0.37 1.1  2.2 2021 11 17 23 20 25.84
56.177 27.587  12.3 3.3     NaN     622       0  NaN NaN 0.33 1.2  2.1 2021 11 17 23 53 46.48
56.081 27.561  11.6 3.2     NaN      32       0  NaN NaN 0.71 3.1  4.6 2021 11 18  1 50 47.37
56.271 27.515  16.2 3.4     NaN     233      12  NaN NaN 0.33 1.4  2.0 2021 11 18  2 18 15.13
56.187 27.647  17.2 2.6     NaN      71       0  NaN NaN 0.39 1.8  2.4 2021 11 18  4 57 11.67
56.240 27.579   5.2 2.8     NaN     105       0  NaN NaN 0.19 1.7  2.8 2021 11 18  5 46 26.64
56.163 27.539  12.9 3.4     NaN     382      21  NaN NaN 0.42 3.2  6.1 2021 11 18 12  2 51.54
56.245 27.554   8.6 2.8     NaN     206      19  NaN NaN 0.46 1.4  2.3 2021 11 18 13  7  7.17
56.089 27.531  15.7 4.3     NaN     287      30  NaN NaN 0.41 1.6  2.8 2021 11 18 16 10 42.29
56.041 27.423  14.9 2.7     NaN      28       0  NaN NaN 0.21 2.9  4.0 2021 11 18 19 10  4.74
56.114 27.540  13.9 2.9     NaN     314      33  NaN NaN 0.57 2.0  3.3 2021 11 18 19 28 24.78
56.203 27.516  13.3 2.7     NaN     544       0  NaN NaN 0.21 1.4  2.2 2021 11 18 20 19  7.88
56.242 27.635  11.8 3.5     NaN     180      22  NaN NaN 0.47 1.7  3.4 2021 11 18 20 50 50.80
